Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/H]	error([Mn/H])
615574	260.031	57.9090833335	4766	1.43520593643	-1.89533118941	0.0276619572564	-0.297584068272	-2.48761217842	0.242979001543
622253	259.988708337	57.9179444444	4536	1.13531386852	-1.36257368678	0.00788713939812	-0.178432795418	-1.90899891125	0.196212954252
649595	260.006625	57.9512777778	4499	0.871357798576	-1.89371701749	0.0120568102337	-0.0366106887532	-2.2098121871	0.108844576368
648189	259.991291666	57.949555556	4479	0.810072362423	-2.16289779508	0.0117596681297	0.112747408885	-2.46682511403	0.0933444625615
588559	260.056291668	57.866472222	4447	0.770266473293	-1.96768979247	0.00942982264332	-0.00378532906408	-2.2863216267	0.106759755032
660453	260.023583333	57.9646666665	4362	0.732670605183	-2.01076091193	0.00930766443272	0.0534527777199	-2.28153960142	0.0971086313054
598482	260.06716667	57.8822499996	4417	0.767689168453	-3.0229175438	0.0276763623961	0.139677787474	-2.67846387768	0.400491749142
676918	260.016541667	57.9856388889	4254	0.395541071892	-1.65616411211	0.00583610616691	-0.0830396742303	-1.56440000549	0.107839203065
640120	260.024083334	57.9398333332	4419	0.501345276833	-2.21200446705	0.00957824220826	0.186142808787	-2.35684012839	0.104671741057
653393	259.995333338	57.9558055554	4241	0.123807728291	-2.41122218432	0.00832344348899	-8.02216980054e-05	-2.41988904843	0.0859967504313
598860	260.114958334	57.8828611109	4795	1.32919883728	-2.13817102854	0.0349287048594	-0.0203233771208	-2.98756789994	0.354512140033
577465	260.131874998	57.8486388885	4536	1.15211558342	-1.96930611239	0.0163967754583	-0.0295721277242	-2.08046280446	0.108657394727
580987	260.165958341	57.8542500001	4571	1.11177814007	-1.98345244608	0.0174877670795	0.0502410074021	-1.87789208147	0.18061617345
595078	260.028708333	57.8769722218	4562	1.07713878155	-1.90503787264	0.013028562333	0.133312469824	-2.40973015519	0.135653242731
678571	259.984958331	57.9877777778	4712	1.29407572746	-1.97724251827	0.0228234122462	-0.135422203527	-2.22226462096	0.136309769696
583638	260.008041666	57.8584444443	4803	1.47936725616	-2.21031416562	0.0330455062036	0.107349110726	-2.81616267795	0.317611694202
601250	260.043166665	57.8868055556	4735	1.44939136505	-1.90900000968	0.0253897112501	-0.142776648175	-2.04800313392	0.141720415631
598573	260.002166667	57.8823888885	4732	1.49267280102	-1.92048852676	0.027579021987	0.0345168577564	-7.336872958	3034.76403846
692651	259.957499997	58.007388889	4886	1.68479919434	-2.66493034105	0.10203435363	0.487608918957	-5.37754063558	60.4098116351
541645	260.074291666	57.7864999999	4452	0.475478380919	-1.09552055416	0.00598355428485	0.483527175959	1.30897416759	0.116337632314
598732	260.045166667	57.8826388889	4917	1.79547154903	-1.71099207177	0.0421205743823	-0.132197288351	-1.84225521248	0.308877837559
609987	260.053833334	57.9008611111	4902	1.78089559078	-1.91029529517	0.0475354407977	-0.0352307291507	-2.01703083513	0.256398617904
609853	260.081750003	57.9006111111	4918	1.81015074253	-1.78081746357	0.0560471835439	-0.569942632516	-1.80113840934	0.388113504959
613610	260.008208333	57.9061944442	4988	1.87996542454	-2.24369958768	0.072900305293	0.305584067638	-2.05185381539	0.346058581495
592007	260.054833333	57.8721111112	4919	1.80539381504	-1.68992376321	0.0401873824418	-0.100292962364	-2.34609910084	0.293488521687
614672	260.065500001	57.9076666668	4983	1.91354548931	-2.41457852876	0.108280804501	-0.0748795656341	-3.03791481183	0.952480294802
625650	259.959458335	57.9222500001	4855	1.72743415833	-1.99871596113	0.0380319875626	0.196251394965	-3.45576581735	1.55905973664
